cityKey,listingCount,medianListingPrice,meanListingPrice,medianPricePerSqFt,medianEstimatedMonthlyPayment,medianHouseholdIncome,medianHomeValueCensus,medianBedrooms,medianBathrooms,estimatedCapRate,environmentalRiskComposite,livabilityComposite,priceToIncomeRatio,monthlyAffordabilityIndexTown,town
florida,2,467500.0,467500.0,235.15384615384616,3034.5,90078.0,220600.0,3.0,1.5,8.58993165467626,2.1,5.75,5.189946490819068,2.4737188993244357,Florida
foxborough,12,664950.0,670633.25,352.1833489760977,4340.0,108559.0,581900.0,3.5,3.0,8.24784834043136,3.0,16.75,6.125240652548384,2.084466205837174,Foxborough
framingham,81,679900.0,780257.6296296297,375.86805555555554,4237.0,98179.0,600600.0,3.0,3.0,8.226060008451896,3.0,24.0,6.925106183603418,1.9309849736448745,Framingham
franklin,22,699000.0,778754.5454545454,329.1500866208804,4468.0,142788.0,567100.0,3.0,2.0,8.247922200014221,3.0,21.0,4.895369358769645,2.6631602506714414,Franklin Town
gardner,17,450000.0,440958.5294117647,238.83928571428572,2886.0,62948.0,271300.0,3.0,2.0,8.468173634726945,2.6,35.5,7.148757704772193,1.8176253176253176,Gardner
georgetown,9,699900.0,765911.1111111111,347.76119402985074,4548.0,152014.0,610800.0,4.0,2.0,8.214105263157895,3.4,27.0,4.60418119383741,2.78536352975667,Georgetown
gill,1,999995.0,999995.0,221.13998230871294,6532.0,90000.0,323900.0,4.0,4.0,8.622283111415557,2.2,7.5,11.111055555555556,1.1481935088793631,Gill
gloucester,50,987000.0,1351181.76,552.7932397329615,6235.0,87898.0,587800.0,3.0,3.0,8.214877396053176,3.8,23.166666666666664,11.228924435140732,1.1747928361400695,Gloucester
grafton,23,675000.0,653434.7391304348,307.8407224958949,4330.0,124548.0,481500.0,4.0,3.0,8.46810152284264,3.2,16.75,5.419597263705559,2.396997690531178,Grafton
granville,2,462450.0,462450.0,300.5948347107438,3151.5,89643.0,328700.0,2.5,1.5,9.021517112834331,2.5,12.25,5.158796559686757,2.3703791845153104,Granville
great barrington,59,775000.0,1352732.2033898304,368.7150837988827,5146.0,82484.0,474800.0,4.0,3.0,8.544288577154308,2.4,20.0,9.395761602250133,1.3357300168415598,Great Barrington
