cityKey,listingCount,medianListingPrice,meanListingPrice,medianPricePerSqFt,medianEstimatedMonthlyPayment,medianHouseholdIncome,medianHomeValueCensus,medianBedrooms,medianBathrooms,estimatedCapRate,environmentalRiskComposite,livabilityComposite,priceToIncomeRatio,monthlyAffordabilityIndexTown,town
greenfield,17,335000.0,469741.17647058825,205.69620253164558,2188.0,53961.0,252000.0,3.0,2.0,8.6224,2.3,36.0,6.208187394599803,2.0551873857404024,Greenfield
groton,9,799900.0,1132177.7777777778,321.50205761316874,4985.0,189180.0,673500.0,4.0,3.0,8.224513834870542,3.2,13.5,4.228248229199704,3.1624874623871615,Groton
groveland,12,714499.5,806990.75,298.31921017984894,4446.5,135521.0,571900.0,3.5,2.5,8.214247789837106,3.4,16.5,5.272241940363486,2.539844072116646,Groveland
halifax,10,352400.0,413760.0,245.40961779448622,2637.0,106851.0,442800.0,3.0,1.5,9.053955827379252,3.8,14.0,3.2980505563822518,3.3766590822904816,Halifax
hamilton,7,1195000.0,1437414.2857142857,444.0740740740741,7305.0,126331.0,687600.0,4.0,3.0,8.20086050420168,3.4,15.5,9.459277611987556,1.441147615788273,Hamilton
hampden,11,499000.0,687981.3636363636,219.47154471544715,3288.0,110703.0,345200.0,4.0,3.0,8.699058823529413,3.2,14.5,4.507556254121388,2.8057329683698295,Hampden
hancock,7,299000.0,726100.0,319.8,2718.0,93125.0,348300.0,2.0,2.0,12.078662207357862,2.4,14.0,3.210738255033557,2.8551937699288694,Hancock
hanover,13,929000.0,1080353.7692307692,299.9172527927183,5867.0,174821.0,706200.0,4.0,3.0,8.336318622174382,3.4,20.0,5.3140068984847355,2.4831117550139195,Hanover
hanson,11,589900.0,590851.3636363636,314.74296799224055,3726.0,111897.0,496200.0,3.0,2.0,8.336494156928214,3.6,17.0,5.271812470396883,2.5026167471819645,Hanson
hardwick,8,382450.0,634137.5,262.0081967213115,2727.0,81250.0,282000.0,3.5,2.0,8.466019417475728,2.8,18.5,4.707076923076923,2.4828871776066492,Hardwick
harvard,5,749900.0,760580.0,360.52884615384613,5386.0,200688.0,798300.0,3.0,2.0,8.468714524207014,3.0,9.0,3.7366459379733716,3.105087263275158,Harvard
harwich,31,950000.0,1711287.0967741935,458.1424406497293,5858.0,87948.0,588100.0,4.0,3.0,7.817868613138685,3.6,21.75,10.80183744940192,1.2511095937179926,Harwich
haverhill,51,599000.0,600653.6666666666,311.33056133056135,3728.0,87675.0,426900.0,3.0,3.0,8.215127919911012,3.2,34.333333333333336,6.832050185343599,1.959831008583691,Haverhill
hawley,1,665000.0,665000.0,376.984126984127,4344.0,99375.0,290000.0,3.0,2.0,8.622676691729323,2.2,2.0,6.6918238993710695,1.9063651012891345,Hawley
heath,6,379500.0,342166.6666666667,192.6098230628432,2496.0,93750.0,284500.0,3.0,2.0,8.682104326923078,2.2,6.5,4.048,3.1300080128205128,Heath
hingham,56,1897000.0,2233092.8571428573,571.2948760893967,11959.5,181017.0,1075100.0,4.0,4.0,8.321910011644079,3.6,20.0,10.479678704210102,1.261319453154396,Hingham
hinsdale,6,629700.0,646983.3333333334,314.5644212706127,4376.5,76129.0,272900.0,4.5,2.5,8.544684016404014,1.9,10.75,8.271486555714642,1.4495791918961118,Hinsdale
holbrook,11,649000.0,647763.5454545454,346.0199004975124,4055.0,107768.0,436500.0,3.0,2.0,8.247738358169583,3.2,21.0,6.022195828075124,2.2147143444307438,Holbrook
holden,17,599900.0,599641.1176470588,298.8045427375971,3719.0,142880.0,433300.0,4.0,2.0,8.467326732673268,2.6,16.25,4.198628219484882,3.2015774849870033,Holden
holland,7,459000.0,386528.5714285714,345.07042253521126,3029.0,86806.0,288700.0,3.0,1.0,8.710849673202615,3.0,2.5,5.287652927217013,2.3881919225266866,Holland
holliston,6,682500.0,650766.6666666666,335.1262918381417,4253.5,154684.0,620500.0,3.5,2.0,8.225698369270688,3.1,17.25,4.412221044193323,3.030523882293014,Holliston
holyoke,33,344900.0,353215.57575757575,179.43409247757074,2273.0,51892.0,255300.0,4.0,2.0,8.699788682789388,2.8,45.0,6.6464965697988125,1.902478369262355,Holyoke
hopedale,6,634500.0,1170483.3333333333,244.33575787977594,4069.5,115216.0,456000.0,3.5,3.0,8.46720547282763,2.8,36.25,5.507047632273295,2.3593398042347546,Hopedale
hopkinton,18,889000.0,942260.5555555555,360.2827978713991,5870.0,204418.0,726100.0,4.0,3.0,8.225684210526317,2.8,17.0,4.34893209012905,2.9020159000567856,Hopkinton
hubbardston,4,394900.0,397400.0,243.95234948315317,2452.0,102344.0,342100.0,3.0,1.5,8.465318997305179,2.5,9.25,3.8585554600171967,3.4782490483958672,Hubbardston
hudson,11,699999.0,807372.6363636364,327.1604938271605,4362.0,107202.0,480300.0,4.0,2.0,8.225497464996378,3.0,34.5,6.529719594783679,2.0480284273269143,Hudson
hull,46,764499.5,954721.695652174,505.1085568326948,5032.5,127112.0,606100.0,3.0,2.0,8.335950952928648,4.25,38.5,6.014377084775631,2.1048517966550753,Hull
huntington,1,519900.0,519900.0,196.6338880484115,3426.0,94871.0,283900.0,3.0,3.0,8.698442008078477,2.4,11.5,5.480072941151669,2.307623078419926,Huntington
ipswich,19,1094000.0,1340726.2631578948,450.202131569276,6702.0,124405.0,701400.0,3.0,2.0,8.214388489208634,3.4,15.5,8.793858767734417,1.5468641201631355,Ipswich
kingston,19,949000.0,1016115.7368421053,355.3169734151329,5993.0,115863.0,562000.0,4.0,3.0,8.335890410958905,3.6,15.5,8.190707991334593,1.6110879359252461,Kingston
lakeville,26,774450.0,806649.9615384615,381.34625949186045,4891.0,126182.0,533800.0,3.0,2.0,8.336109047509371,3.2,12.0,6.137563202358498,2.149901179036325,Lakeville
lancaster,8,684900.0,716687.5,271.5672990063234,4430.5,130444.0,467400.0,3.5,2.0,8.467149604868744,3.2,15.0,5.250528962619975,2.4535229281871875,Lancaster
lanesborough,27,499900.0,632929.6296296297,285.48057259713704,3554.0,84419.0,285500.0,3.0,2.0,8.546257668711657,2.3,14.5,5.921652708513486,1.9794363158882011,Lanesborough
lawrence,17,599900.0,564282.2352941176,326.4417845484222,3733.0,57903.0,393500.0,4.0,2.0,8.21572549623019,3.2,52.333333333333336,10.360430374937396,1.2925930886686312,Lawrence
lee,28,640000.0,811250.0,292.3834628190899,4330.5,74222.0,328900.0,4.0,3.0,8.544913985023275,2.4,14.5,8.622780307725472,1.4282800292498943,Lee
leicester,9,479900.0,851400.0,266.6111111111111,3079.0,95776.0,377800.0,4.0,3.0,8.467058056099152,2.6,22.0,5.010649849649181,2.59218360939699,Leicester
lenox,30,632000.0,1144583.3333333333,337.5686739297267,3977.5,97569.0,469600.0,3.0,3.0,8.544033091631267,2.4,18.5,6.477467228320471,2.0441860465116277,Lenox
leominster,31,465000.0,487187.0967741936,257.31441048034935,3046.0,81556.0,345000.0,3.0,2.0,8.468797690245413,2.8,29.666666666666668,5.701603805973809,2.2312322171153425,Leominster
